Company,Job Category,Title,Processed Title,Min Salary,Max Salary,Adjusted Salary,Last Update
ProSpace Pte Ltd,Business Development / Sales,Business Development Executive,"['busi', 'develop', 'execut']",2500,2800,2500,2021-03-25
STARR E.T.C.,Finance,Management Trainee (Work Study Programme),"['manag', 'traine', 'work', 'studi', 'programm']",1600,2200,1600,2021-03-24
Load And Go,Business Development / Sales,Business Development Manager,"['busi', 'develop', 'manag']",2500,3500,2500,2021-03-24
Asia Innovatory Management School,Education,H1/H2 Economics Teacher,"['h1/h2', 'econom', 'teacher']",3500,5000,3500,2021-03-24
Moxie,Business Development / Sales,Events & Marketing Representative ,"['event', 'market', 'repres']",2000,4500,2600.0,2021-03-24
Braverywf,Operations,Brand ambassador ,"['brand', 'ambassador']",2000,3000,2000.0,2021-03-24
Resolutez,Business Development / Sales,Sales development representative (Entry level),"['sale', 'develop', 'repres', 'entri', 'level']",2500,4000,2600.0,2021-03-24
Atlas Marketing Group,Marketing,Marketing Trainee,"['market', 'traine']",2500,4500,2800.0,2021-03-24
Resolutez,Business Development / Sales,Sales development representative (No experience needed),"['sale', 'develop', 'repres', 'No', 'experi', 'need']",2500,4000,2600.0,2021-03-23
Stagencies Pte Ltd,Business Development / Sales,Business Development Executive,"['busi', 'develop', 'execut']",1500,3500,2000.0,2021-03-25
Everyworks Singapore,Marketing,Digital Content Marketing Assistant/Executive,"['digit', 'content', 'market', 'assistant/execut']",1800,2500,1800,2021-03-24
Shopmatic Pte Ltd,Other,Lifecycle Campaign Manager,"['lifecycl', 'campaign', 'manag']",1,2,1.2000000000000002,2021-03-25
Atlas Marketing Group,Marketing,Marketing Affiliate,"['market', 'affili']",2500,4500,2800.0,2021-03-24
ZumVet,Product Management,Product Manager,"['product', 'manag']",5000,8000,5200.0,2021-03-25
Braverywf,Business Development / Sales,Corporate sales leader,"['corpor', 'sale', 'leader']",2000,3300,2120.0,2021-03-24
Aegis Organization,Marketing,Social Media Content Creator,"['social', 'media', 'content', 'creator']",800,1000,800,2021-03-24
Jk Group,Business Development / Sales,Business Development Executive,"['busi', 'develop', 'execut']",3000,5000,3200.0,2021-03-23
Globalwide International Pte Ltd,Other,SENIOR QUANTITY SURVEYOR / QUANTITY SURVEYOR,"['senior', 'quantiti', 'surveyor', 'quantiti', 'surveyor']",2500,5500,3200.0,2021-03-23
STARR E.T.C.,Business Development / Sales,Financial Planner (Work Study Diploma),"['financi', 'planner', 'work', 'studi', 'diploma']",1600,2200,1600,2021-03-24
The Mandala Group,Hospitality and Travel,Chef De Partie / Senior Chef De Partie / Junior Sous Chef (Full time up to $3500 + benefits),"['chef', 'De', 'parti', 'senior', 'chef', 'De', 'parti', 'junior', 'sou', 'chef', 'full', 'time', 'up', 'to', 'benefit']",2300,3500,2320.0,2021-03-26
Great Eastern,Finance,Financial Advisor,"['financi', 'advisor']",2000,3000,2000.0,2021-03-25
Maven Potter,Media & Communications,Account Associate,"['account', 'associ']",2800,3200,2800,2021-03-25
Dyna-mac Engineering Services Pte Ltd,Human Resource,HR/ADMIN EXECUTIVE,"['hr/admin', 'execut']",2400,3000,2400,2021-03-25
Dazzle,Management,Project Leader ,"['project', 'leader']",2000,3000,2000.0,2021-03-24
Tpc Hotel Pte Ltd,Finance,Management Trainee (Finance),"['manag', 'traine', 'financ']",1000,1500,1000.0,2021-03-23
DSTNCT Pte Ltd,Design,Graphic Designer,"['graphic', 'design']",2500,3000,2500,2021-03-25
The Mandala Group,Hospitality and Travel,Captain (Full time flexi 36hrs / 3-4 workdays per week),"['captain', 'full', 'time', 'flexi', '36hr', 'workday', 'per', 'week']",1400,1400,1400,2021-03-26
Ezsy Pte Ltd,Marketing,Marketing Manager,"['market', 'manag']",3500,5000,3500,2021-03-23
The Mandala Group,Hospitality and Travel,Sommelier,['sommeli'],2850,4000,2850,2021-03-26
Braverywf,Marketing,Sales & marketing ,"['sale', 'market']",2000,3300,2120.0,2021-03-24
CYS Global Remit Pte Ltd,Business Development / Sales,Telemarketing Executive,"['telemarket', 'execut']",2300,2500,2300,2021-03-24
Resync Technologies,Software Engineering,Software Engineer,"['softwar', 'engin']",3000,5000,3200.0,2021-03-23
Myer Gold Investment Management Pte. Ltd.,Finance,Finance Executive,"['financ', 'execut']",2200,3000,2200,2021-03-26
Moxie,Marketing,Events and Marketing Representative (Entry Level ),"['event', 'and', 'market', 'repres', 'entri', 'level']",2000,4500,2600.0,2021-03-25
Moxie,Business Development / Sales,Events and Marketing Representative (Entry Level ),"['event', 'and', 'market', 'repres', 'entri', 'level']",2500,4500,2800.0,2021-03-24
Benny Kee Financial Group,Administrative,Personal Admin,"['person', 'admin']",800,2000,1120.0,2021-03-24
Tsuru Holdings Pte Ltd,Operations,RETAIL ASSISTANT,"['retail', 'assist']",1800,2200,1800,2021-03-24
Synergy Marketing,Marketing,Sales & Marketing Leaders,"['sale', 'market', 'leader']",2000,4000,2400.0,2021-03-26
Braverywf,Media & Communications,Event ambassador ,"['event', 'ambassador']",2000,3000,2000.0,2021-03-24
Shopmatic Pte Ltd,Business Development / Sales,E-Commerce Business Developement Executive,"['e-commerc', 'busi', 'develop', 'execut']",1,2,1.2000000000000002,2021-03-25
Resolutez,Business Development / Sales,Sales and Marketing Representative,"['sale', 'and', 'market', 'repres']",2500,5000,3000.0,2021-03-24
RYSH Organization,Business Development / Sales,Sales Representative (Entry Level),"['sale', 'repres', 'entri', 'level']",2500,5500,3200.0,2021-03-24
Structo,Other,Production Technician  (6 months),"['product', 'technician', 'month']",2000,2166,2000,2021-03-24
Riveria Marketing,Business Development / Sales,Junior Sales Executive (High Commission),"['junior', 'sale', 'execut', 'high', 'commiss']",3000,3500,3000,2021-03-23
Ignite Marketing Group ,Business Development / Sales,Business Development Associate (Fresh Grad/ORD!),"['busi', 'develop', 'associ', 'fresh', 'grad/ord']",2800,4500,2920.0,2021-03-23
Braverywf,Product Management,Project leader,"['project', 'leader']",2000,3000,2000.0,2021-03-24
Everyworks Singapore,Marketing,SEO Content Writer / Editor,"['seo', 'content', 'writer', 'editor']",1800,2500,1800,2021-03-24
Ezsy Pte Ltd,Human Resource,HR EXECUTIVE,"['HR', 'execut']",2700,4000,2700,2021-03-23
Shopmatic Pte Ltd,Finance,Finance Controller,"['financ', 'control']",1,2,1.2000000000000002,2021-03-25
Vanguard Interiors,Operations,Project Executive,"['project', 'execut']",2000,2500,2000,2021-03-24
Anthology Pte Ltd,Marketing,Account Manager - Digital Marketing,"['account', 'manag', 'digit', 'market']",3500,5000,3500,2021-03-23
Ultimate Desk Pte Ltd,Business Development / Sales,Full-Time Retail Associate,"['full-tim', 'retail', 'associ']",1700,2000,1700,2021-03-24
